InvoiceDate,NetFare
2019-02-20,14730.383636363636
2019-02-21,13911.564534883719
2019-02-22,9520.600348484844
2019-02-23,15210.725490196079
2019-02-24,15511.833333333334
2019-02-25,16896.400519480518
2019-02-26,14059.559361702128
2019-02-27,11810.552352941177
2019-02-28,12643.280487804877
2019-03-01,18173.153846153848
2019-03-02,6905.818181818182
2019-03-03,16646.002325581394
2019-03-04,8180.317169064741
2019-03-05,14620.534124999996
2019-03-06,16397.802640983606
2019-03-13,10346.76206448598
2019-03-14,14993.952523762375
2019-03-15,13927.565217391304
2019-03-16,21723.627272727274
2019-03-17,12505.748679245282
2019-03-18,9718.138465
2019-03-19,14239.456795384614
2019-03-20,11883.735480769234
2019-03-21,11681.126825396825
2019-03-22,14124.147368421052
2019-03-23,13260.363636363636
2019-03-24,10562.3
2019-03-25,11636.624761904766
2019-03-26,14540.647884615384
2019-03-27,16019.879901960787
2019-03-28,12138.270444444443
2019-03-29,12917.892545882352
2019-03-30,12626.982642424242
2019-03-31,10165.806451612903
2019-04-01,13914.734375
2019-04-02,11514.039761904762
2019-04-03,9445.975614035087
2019-04-04,12021.117647058823
2019-04-05,17584.05131759259
2019-04-06,15020.858108108108
2019-04-14,28906.5
2019-04-15,26774.2
2019-04-16,32441.5
2019-04-17,26023.866666666665
2019-04-18,10073.0
2019-04-19,54492.8
2019-04-20,400.0
2019-04-22,36656.4
2019-04-23,25144.363636363636
2019-04-24,41220.0
2019-04-25,6086.0
2019-04-26,20346.12
2019-04-27,21870.727272727272
2019-04-28,28359.0
2019-04-29,12131.666666666666
2019-04-30,13004.588235294117
2019-05-01,9989.92857142857
2019-05-02,9434.221279069769
2019-05-03,11152.977476635511
2019-05-04,16956.097700934577
2019-05-05,15068.90251
2019-05-06,14051.940116279071
2019-05-13,13669.966833333334
2019-05-14,16874.028969072166
2019-05-15,16793.515341052633
2019-05-16,10700.705044247787
2019-05-17,28432.29892258065
2019-05-18,12990.386512903226
2019-05-19,10627.153846153846
2019-05-20,11721.505065346533
2019-05-21,16601.643294117646
2019-05-22,13710.442391304347
2019-05-23,17546.620725316454
2019-05-24,14826.962446808513
2019-05-25,11584.509057971014
2019-05-26,20226.25
2019-05-27,10855.461142307691
2019-05-28,17262.88292682927
2019-05-29,15437.817627118644
2019-05-30,18387.66888888889
2019-05-31,16776.859649122805
2019-06-01,18265.602000000003
2019-06-02,9796.84608695652
2019-06-03,14601.305555555555
2019-06-04,13710.653846153846
2019-06-05,14417.031983108109
2019-06-06,24983.203125
2019-07-01,16474.463414634145
2019-07-02,15564.90257142857
2019-07-03,10881.1474875
2019-07-04,6989.173913043478
2019-07-05,15506.964295714288
2019-07-06,18437.442333333332
2019-08-01,15066.213953488372
2019-08-02,11868.821986842106
2019-08-03,8910.37894117647
2019-08-04,12276.4
2019-08-05,16254.336064705883
2019-08-06,20216.493698630136
2019-09-01,15597.46648148148
2019-09-02,23481.51875
2019-09-03,14899.268243243241
2019-09-04,11824.673362376237
2019-09-05,14955.970731707319
2019-09-06,16943.815789473683
2019-10-01,19416.667500000003
2019-10-02,14741.344444444445
2019-10-03,9333.732280701754
2019-10-04,16499.454545454544
2019-10-05,16421.193703703702
2019-10-06,15331.751775824177
2019-11-01,9809.672727272728
2019-11-02,9200.300480769232
2019-11-03,10509.438987341773
2019-11-04,15763.941920000001
2019-11-05,19320.121212121212
2019-12-01,13437.51657142857
2019-12-02,18002.249117647058
2019-12-03,17360.36888888889
2019-12-04,20724.333333333332
2019-12-05,15815.893617021276
